peak_hour,year,season,community,num_stations,total_docks,docks_in_service,available_docks,available_bikes,percent_full
No,2013,Winter,LINCOLN PARK,36,16.132444444444445,16.091583333333332,10.34913888888889,5.742444444444445,35.68601252897909
No,2013,Winter,LINCOLN SQUARE,7,15.552571428571428,15.516,10.261714285714286,5.2542857142857144,33.863661473870295
No,2013,Winter,LOGAN SQUARE,12,14.666666666666666,14.580083333333333,9.753916666666667,4.8261666666666665,33.101091100302355
No,2013,Winter,LOOP,27,23.39688888888889,23.293703703703702,14.71862962962963,8.575074074074074,36.812840856693114
No,2013,Winter,LOWER WEST SIDE,13,14.076923076923077,14.055692307692308,9.721538461538461,4.334153846153846,30.835577154615706
No,2013,Winter,NEAR NORTH SIDE,34,19.665235294117647,19.487,12.108764705882352,7.378235294117647,37.86234563615563
No,2013,Winter,NEAR SOUTH SIDE,11,17.05781818181818,16.950272727272726,11.026181818181819,5.924090909090909,34.94982649783056
No,2013,Winter,NEAR WEST SIDE,41,17.73170731707317,17.65729268292683,10.230878048780488,7.426414634146341,42.058625676670594
No,2013,Winter,NORTH CENTER,6,14.274666666666667,14.2085,8.7865,5.422,38.16025618467818
No,2013,Winter,SOUTH LAWNDALE,1,10.38,10.379,7.525,2.854,27.49783216109452
No,2013,Winter,UPTOWN,12,15,14.940416666666668,9.691,5.249416666666667,35.13567783138578
No,2013,Winter,WASHINGTON PARK,1,15,14.558,10.263,4.295,29.502678939414757
No,2013,Winter,WEST TOWN,29,15.15751724137931,15.072724137931035,9.824758620689655,5.247965517241379,34.81763130020201
Yes,2013,Fall,ARMOUR SQUARE,4,12.628504480802434,12.623368393226517,7.311529634476721,5.311838758749795,42.07940854835574
Yes,2013,Fall,BRIDGEPORT,7,13.285714285714286,13.279383278288206,7.289349162242641,5.990034116045565,45.107773384621495
Yes,2013,Fall,DOUGLAS,9,13.133979822215558,13.132480234602152,7.741064051013013,5.391416183589138,41.05405899933167
Yes,2013,Fall,EDGEWATER,1,14.882331174838113,14.882331174838113,7.371877890841813,7.510453283996299,50.4655701836174
Yes,2013,Fall,GRAND BOULEVARD,6,14.339719029374201,14.29952359713293,8.6366664205871,5.662857176545832,39.601719162736586
